Dealer,Address 1,Address 2,Contact Number,Region
Queenstown Motor Group,2 Hawthorne Drive,"Frankton, Queenstown",34509034,Otago
Rostron Finance PTY Limited,218 George Street,"CBD, Dunedin",21755562,Otago
Southern Motor Court,7 Timaru Street,"South Dunedin, Dunedin",34555500,Otago
Dunedin City Motors Ltd,431 Andersons Bay Road,"Andersons Bay, Dunedin",34664060,Southland
GWD Auto Hub,34 Yarrow Street,"City, Invercargill",39296613,Southland
Macaulay Motors Invercargill,270 Dee Street,"Avenal, Invercargill",32111222,Southland
NZCU South - Invercargill,52 Don Street,"Invercargill, Invercargill",32113950,Southland
NZCU Steelsands Southland,501 Lorneville Riverton Highway RD 4,"RD4, Invercargill",32156458,Southland
Regent Car & Commercial,125 North Road,"Invercargill, Invercargill",32159390,Southland
Regent Roundabout,94 Clyde Street,"Invercargill, Invercargill",275363732,Southland
Regent South,167 Clyde St,"Invercargill, Invercargill",32158811,Southland
Southern Automobiles,215 Dee Street,"Invercargill, Invercargill",32112233,Southland
Southland Vehicle Sales,64 North Road,"Prestonville, Invercargill",32158539,Southland
The Electric Motor Vehicle Company,279 Dee Street,"Avenal, Invercargill",34158799,Southland
Top Cars & Commercials,182 clyde Street,"Invercargill, Invercargill",32141997,Southland
